model, entity URI, belief
human, http://human.owl#NCI_C12499, 61
human, http://human.owl#NCI_C32315, 151
human, http://human.owl#NCI_C12424, 12
human, http://human.owl#NCI_C32826, 77
human, http://human.owl#NCI_C52749, 9
human, http://human.owl#NCI_C49479, 12
human, http://human.owl#NCI_C12724, 50
human, http://human.owl#NCI_C33878, 6
human, http://human.owl#NCI_C33200, 49
human, http://human.owl#NCI_C33371, 153
human, http://human.owl#NCI_C12877, 78
human, http://human.owl#NCI_C33385, 79
human, http://human.owl#NCI_C52859, 19
human, http://human.owl#NCI_C42079, 31
human, http://human.owl#NCI_C33310, 4
human, http://human.owl#NCI_C32876, 25
human, http://human.owl#NCI_C32193, 9
human, http://human.owl#NCI_C13093, 5
human, http://human.owl#NCI_C33463, 4
human, http://human.owl#NCI_C13114, 7
human, http://human.owl#NCI_C32619, 6
human, http://human.owl#NCI_C12528, 3
human, http://human.owl#NCI_C33057, 4
human, http://human.owl#NCI_C33763, 8
human, http://human.owl#NCI_C12794, 24
human, http://human.owl#NCI_C49798, 4
human, http://human.owl#NCI_C32253, 7
human, http://human.owl#NCI_C32986, 25
human, http://human.owl#NCI_C33573, 46
human, http://human.owl#NCI_C32729, 19
human, http://human.owl#NCI_C32041, 16
human, http://human.owl#NCI_C32267, 67
human, http://human.owl#NCI_C32793, 6
human, http://human.owl#NCI_C33608, 96
human, http://human.owl#NCI_C49230, 4
human, http://human.owl#NCI_C38516, 46
human, http://human.owl#NCI_C32536, 20
human, http://human.owl#NCI_C12381, 84
human, http://human.owl#NCI_C32377, 6
human, http://human.owl#NCI_C32151, 81
human, http://human.owl#NCI_C12960, 13
human, http://human.owl#NCI_C33213, 25
human, http://human.owl#NCI_C26464, 74
human, http://human.owl#NCI_C33718, 25
human, http://human.owl#NCI_C43630, 11
human, http://human.owl#NCI_C12717, 18
human, http://human.owl#NCI_C33698, 153
human, http://human.owl#NCI_C33191, 4
human, http://human.owl#NCI_C43422, 15
human, http://human.owl#NCI_C40373, 19
human, http://human.owl#NCI_C32702, 5
human, http://human.owl#NCI_C12697, 16
human, http://human.owl#NCI_C33010, 84
human, http://human.owl#NCI_C12485, 20
human, http://human.owl#NCI_C33476, 6
human, http://human.owl#NCI_C13072, 50
human, http://human.owl#NCI_C32696, 32
human, http://human.owl#NCI_C12410, 20
human, http://human.owl#NCI_C32812, 4
human, http://human.owl#NCI_C32439, 7
human, http://human.owl#NCI_C32965, 4
human, http://human.owl#NCI_C32979, 6
human, http://human.owl#NCI_C49243, 9
human, http://human.owl#NCI_C52845, 6
human, http://human.owl#NCI_C32549, 5
human, http://human.owl#NCI_C32904, 6
human, http://human.owl#NCI_C48944, 7
human, http://human.owl#NCI_C38336, 7
human, http://human.owl#NCI_C32356, 9
human, http://human.owl#NCI_C53073, 108
human, http://human.owl#NCI_C12938, 12
human, http://human.owl#NCI_C33206, 6
human, http://human.owl#NCI_C12818, 14
human, http://human.owl#NCI_C33302, 5
human, http://human.owl#NCI_C13085, 19
human, http://human.owl#NCI_C12301, 12
human, http://human.owl#NCI_C32522, 7
human, http://human.owl#NCI_C52956, 108
human, http://human.owl#NCI_C33469, 10
human, http://human.owl#NCI_C12862, 5
human, http://human.owl#NCI_C13169, 38
human, http://human.owl#NCI_C12403, 45
human, http://human.owl#NCI_C33592, 77
human, http://human.owl#NCI_C32259, 9
human, http://human.owl#NCI_C33579, 44
human, http://human.owl#NCI_C32861, 6
human, http://human.owl#NCI_C49222, 13
human, http://human.owl#NCI_C32604, 6
human, http://human.owl#NCI_C32799, 5
human, http://human.owl#NCI_C12513, 6
human, http://human.owl#NCI_C52838, 8
human, http://human.owl#NCI_C32369, 17
human, http://human.owl#NCI_C33427, 79
human, http://human.owl#NCI_C12263, 84
human, http://human.owl#NCI_C38329, 18
human, http://human.owl#NCI_C12820, 16
human, http://human.owl#NCI_C12709, 50
human, http://human.owl#NCI_C33012, 19
human, http://human.owl#NCI_C32474, 108
human, http://human.owl#NCI_C12758, 16
human, http://human.owl#NCI_C33026, 12
human, http://human.owl#NCI_C32217, 31
human, http://human.owl#NCI_C52760, 14
human, http://human.owl#NCI_C33197, 14
human, http://human.owl#NCI_C38439, 42
human, http://human.owl#NCI_C13122, 12
human, http://human.owl#NCI_C34082, 84
human, http://human.owl#NCI_C32757, 50
human, http://human.owl#NCI_C32584, 17
human, http://human.owl#NCI_C32271, 38
human, http://human.owl#NCI_C13078, 8
human, http://human.owl#NCI_C33136, 10
human, http://human.owl#NCI_C12416, 43
human, http://human.owl#NCI_C12924, 8
human, http://human.owl#NCI_C53046, 96
human, http://human.owl#NCI_C32120, 61
human, http://human.owl#NCI_C19178, 6
human, http://human.owl#NCI_C12470, 65
human, http://human.owl#NCI_C33155, 44
human, http://human.owl#NCI_C33399, 5
human, http://human.owl#NCI_C49319, 13
human, http://human.owl#NCI_C41061, 12
human, http://human.owl#NCI_C33247, 22
human, http://human.owl#NCI_C32710, 10
human, http://human.owl#NCI_C33494, 153
human, http://human.owl#NCI_C12640, 7
human, http://human.owl#NCI_C28128, 74
human, http://human.owl#NCI_C33565, 4
human, http://human.owl#NCI_C33308, 9
human, http://human.owl#NCI_C52753, 10
human, http://human.owl#NCI_C32284, 32
human, http://human.owl#NCI_C33357, 4
human, http://human.owl#NCI_C52809, 20
human, http://human.owl#NCI_C32069, 41
human, http://human.owl#NCI_C49473, 19
human, http://human.owl#NCI_C32577, 33
human, http://human.owl#NCI_C52863, 4
